user_supplied_name,submitted_name,data_source_id,data_source_title,gni_uuid,matched_name2,classification_path,classification_path_ranks,classification_path_ids,taxon_id,edit_distance,imported_at,match_type,match_value,prescore,score,current_taxon_id,current_name_string,kingdom,phylum,class,order,family,genus,species
Deinandra increscens ssp. villosa ssp. increscens,Deinandra increscens ssp. villosa ssp. increscens,11,GBIF Backbone Taxonomy,cf5f248d-dcc1-52a8-b61f-fd588bed62e1,Deinandra increscens,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Deinandra|Deinandra increscens,kingdom|phylum|class|order|family|genus|species,6|7707728|220|414|3065|3106606|3106611,3106611,0,2024-01-11T22:22:34Z,4,Partial exact match,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Deinandra,Deinandra increscens
Eriodictyon capitatum,Eriodictyon capitatum,11,GBIF Backbone Taxonomy,53b5f73b-fb39-5cfa-9ed1-13e51cf415b3,Eriodictyon capitatum,Plantae|Tracheophyta|Magnoliopsida|Boraginales|Namaceae|Eriodictyon|Eriodictyon capitatum,kingdom|phylum|class|order|family|genus|species,6|7707728|220|7226464|10411378|9058278|2928357,2928357,0,2024-01-12T04:37:13Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Namaceae,Eriodictyon,Eriodictyon capitatum
Cotula coronopifolia,Cotula coronopifolia,11,GBIF Backbone Taxonomy,9f41b124-9e55-5c2d-a9a8-e83e18c8c7a8,Cotula coronopifolia,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Cotula|Cotula coronopifolia,kingdom|phylum|class|order|family|genus|species,6|7707728|220|414|3065|3112068|3112110,3112110,0,2024-01-11T22:20:56Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cotula,Cotula coronopifolia
Heliotropium curassavicum,Heliotropium curassavicum,11,GBIF Backbone Taxonomy,a8996800-4264-5679-a5f8-a497cc348002,Heliotropium curassavicum,Plantae|Tracheophyta|Magnoliopsida|Boraginales|Heliotropiaceae|Heliotropium|Heliotropium curassavicum,kingdom|phylum|class|order|family|genus|species,6|7707728|220|7226464|4930387|2925766|2925786,2925786,0,2024-01-12T02:08:54Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Heliotropiaceae,Heliotropium,Heliotropium curassavicum
Isocoma menziesii var. sedoides,Isocoma menziesii var. sedoides,11,GBIF Backbone Taxonomy,9e0bc193-c2bd-5774-84b4-daf16e7bb1a1,Isocoma menziesii sedoides,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Isocoma|Isocoma menziesii|Isocoma menziesii sedoides,kingdom|phylum|class|order|family|genus|species|variety,6|7707728|220|414|3065|3099236|3099285|4224450,4224450,0,2024-01-12T05:36:51Z,2,Exact match by canonical form,7|0|0,0.999,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Isocoma,Isocoma menziesii
Brassica tournefortii,Brassica tournefortii,11,GBIF Backbone Taxonomy,6fc82e27-abe4-5e2f-9a82-5fea9f3340d5,Brassica tournefortii,Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Brassica|Brassica tournefortii,kingdom|phylum|class|order|family|genus|species,6|7707728|220|7225535|3112|3042506|3042624,3042624,0,2024-01-12T03:49:01Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,Brassica tournefortii
Leptochloa dubia,Leptochloa dubia,11,GBIF Backbone Taxonomy,790d3ba6-3de6-5546-8a6d-5eb785ad2bae,Leptochloa dubia,Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Disakisperma|Disakisperma dubium,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|3073|6431157|7549853,2703869,0,2024-01-11T22:11:58Z,2,Exact match by canonical form,3|0|0,0.988,7549853,Disakisperma dubium (Kunth) P.M.Peterson & N.Snow,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Disakisperma,Disakisperma dubium
Helenium puberulum,Helenium puberulum,11,GBIF Backbone Taxonomy,97a6c89e-17d8-576e-a3c6-1ea0abad25de,Helenium puberulum,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Helenium|Helenium puberulum,kingdom|phylum|class|order|family|genus|species,6|7707728|220|414|3065|5401814|5401829,5401829,0,2024-01-11T21:57:41Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Helenium,Helenium puberulum
Madia sativa,Madia sativa,11,GBIF Backbone Taxonomy,3c4080e5-909b-5346-87a7-3ebfe2c202b6,Madia sativa,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Madia|Madia sativa,kingdom|phylum|class|order|family|genus|species,6|7707728|220|414|3065|3140905|3140910,3140910,0,2024-01-11T22:20:28Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Madia,Madia sativa
Malvella leprosa,Malvella leprosa,11,GBIF Backbone Taxonomy,cc5b199f-2632-55c4-8efe-5cc2523a73d2,Malvella leprosa,Plantae|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Malvella|Malvella leprosa,kingdom|phylum|class|order|family|genus|species,6|7707728|220|941|6685|3152685|3152693,3152693,0,2024-01-11T21:52:49Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malvella,Malvella leprosa
Artemisia dracunculus,Artemisia dracunculus,11,GBIF Backbone Taxonomy,93ed3d5b-564e-59c1-a907-5ae4457307f8,Artemisia dracunculus,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Artemisia|Artemisia dracunculus,kingdom|phylum|class|order|family|genus|species,6|7707728|220|414|3065|3120641|3121581,3121581,0,2024-01-11T22:16:11Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia dracunculus
Ambrosia chamissonis,Ambrosia chamissonis,11,GBIF Backbone Taxonomy,3f168ba3-f87e-5251-9c61-3c1c418b6db4,Ambrosia chamissonis,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Ambrosia|Ambrosia chamissonis,kingdom|phylum|class|order|family|genus|species,6|7707728|220|414|3065|3110576|3110718,3110718,0,2024-01-11T22:18:55Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Ambrosia,Ambrosia chamissonis
Croton californicus,Croton californicus,11,GBIF Backbone Taxonomy,f0e9380d-0457-5ffb-a015-bb4463115ceb,Croton californicus,Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Euphorbiaceae|Croton|Croton californicus,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1414|4691|3057454|3059942,3059942,0,2024-01-12T01:11:07Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Croton,Croton californicus
Baccharis glutinosa,Baccharis glutinosa,11,GBIF Backbone Taxonomy,02c32f25-9b50-52a8-9b48-aadc6dca6f0a,Baccharis glutinosa,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Baccharis|Baccharis glutinosa,kingdom|phylum|class|order|family|genus|species,6|7707728|220|414|3065|3129135|8177851,8177851,0,2024-01-11T22:23:32Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Baccharis,Baccharis glutinosa
Senecio blochmaniae,Senecio blochmaniae,11,GBIF Backbone Taxonomy,886d39fa-41db-507e-819d-39535a427e40,Senecio blochmaniae,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Senecio|Senecio blochmaniae,kingdom|phylum|class|order|family|genus|species,6|7707728|220|414|3065|3106738|4273697,4273697,0,2024-01-11T22:19:26Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,Senecio blochmaniae
Woodwardia fimbriata,Woodwardia fimbriata,11,GBIF Backbone Taxonomy,54e3d459-f611-579a-b2b6-6d9dacae178e,Woodwardia fimbriata,Plantae|Tracheophyta|Polypodiopsida|Polypodiales|Blechnaceae|Woodwardia|Woodwardia fimbriata,kingdom|phylum|class|order|family|genus|species,6|7707728|7228684|392|2374|2651511|5275361,5275361,0,2024-01-12T01:04:50Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Blechnaceae,Woodwardia,Woodwardia fimbriata
Dudleya caespitosa,Dudleya caespitosa,11,GBIF Backbone Taxonomy,e587c69a-4cad-51b9-a4d8-ae1217fc927c,Dudleya caespitosa,Plantae|Tracheophyta|Magnoliopsida|Saxifragales|Crassulaceae|Dudleya|Dudleya caespitosa,kingdom|phylum|class|order|family|genus|species,6|7707728|220|7219248|2406|2985872|2985917,2985917,0,2024-01-11T23:27:12Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Dudleya,Dudleya caespitosa
Equisetum telmateia ssp. braunii,Equisetum telmateia ssp. braunii,11,GBIF Backbone Taxonomy,cea0b7cc-9663-5b3d-b841-3eae7da9c78f,Equisetum telmateia braunii,Plantae|Tracheophyta|Polypodiopsida|Equisetales|Equisetaceae|Equisetum|Equisetum braunii,kingdom|phylum|class|order|family|genus|species,6|7707728|7228684|954|3105|2687913|4275141,6449717,0,2024-01-11T23:54:21Z,2,Exact match by canonical form,7|0|0,0.999,4275141,Equisetum braunii Milde,Plantae,Tracheophyta,Polypodiopsida,Equisetales,Equisetaceae,Equisetum,Equisetum braunii
Torilis arvensis,Torilis arvensis,11,GBIF Backbone Taxonomy,cdc4f572-affc-5a84-8619-0e7aa65fe385,Torilis arvensis,Plantae|Tracheophyta|Magnoliopsida|Apiales|Apiaceae|Torilis|Torilis arvensis,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1351|6720|3034818|3034823,3034823,0,2024-01-11T21:38:04Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Torilis,Torilis arvensis
Geranium molle,Geranium molle,11,GBIF Backbone Taxonomy,caa4a97d-25d2-5d80-a81f-d20200aaf9af,Geranium molle,Plantae|Tracheophyta|Magnoliopsida|Geraniales|Geraniaceae|Geranium|Geranium molle,kingdom|phylum|class|order|family|genus|species,6|7707728|220|624|4676|2889949|2891488,2891488,0,2024-01-12T01:56:29Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Geranium,Geranium molle
Venegasia carpesioides,Venegasia carpesioides,11,GBIF Backbone Taxonomy,19171caa-a53b-5a8c-a40a-d2d3a4c42fbc,Venegasia carpesioides,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Venegasia|Venegasia carpesioides,kingdom|phylum|class|order|family|genus|species,6|7707728|220|414|3065|3139621|3139622,3139622,0,2024-01-11T22:16:50Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Venegasia,Venegasia carpesioides
Thalictrum fendleri,Thalictrum fendleri,11,GBIF Backbone Taxonomy,673c4040-7cdd-5010-9b03-ae558dcba5a0,Thalictrum fendleri,Plantae|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Thalictrum|Thalictrum fendleri,kingdom|phylum|class|order|family|genus|species,6|7707728|220|399|2410|3033112|3033120,3033120,0,2024-01-12T01:58:01Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Thalictrum,Thalictrum fendleri
Leptosyne gigantea,Leptosyne gigantea,11,GBIF Backbone Taxonomy,ce542e28-874f-5fab-902b-d0d75dfaaaa5,Leptosyne gigantea,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Coreopsis|Coreopsis gigantea,kingdom|phylum|class|order|family|genus|species,6|7707728|220|414|3065|3133864|3134001,3134002,0,2024-01-11T22:20:58Z,2,Exact match by canonical form,3|0|0,0.988,3134001,Coreopsis gigantea (Kellogg) H.M.Hall,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Coreopsis,Coreopsis gigantea
Chlorogalum pomeridianum,Chlorogalum pomeridianum,11,GBIF Backbone Taxonomy,55858ac8-55f7-519c-bd57-95c94dc1d84c,Chlorogalum pomeridianum,Plantae|Tracheophyta|Liliopsida|Asparagales|Asparagaceae|Chlorogalum|Chlorogalum pomeridianum,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1169|7683|2772629|2772636,2772636,0,2024-01-12T00:48:28Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Chlorogalum,Chlorogalum pomeridianum
Ribes speciosum,Ribes speciosum,11,GBIF Backbone Taxonomy,15ee263a-dddb-5a81-89c6-ebe2f5b4bfdf,Ribes speciosum,Plantae|Tracheophyta|Magnoliopsida|Saxifragales|Grossulariaceae|Ribes|Ribes speciosum,kingdom|phylum|class|order|family|genus|species,6|7707728|220|7219248|2403|2986095|2986206,2986206,0,2024-01-11T21:12:36Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Grossulariaceae,Ribes,Ribes speciosum
Cakile maritima,Cakile maritima,11,GBIF Backbone Taxonomy,5cc78268-a2d5-545a-847e-88a8233f3b77,Cakile maritima,Plantae|Tracheophyta|Magnoliopsida|Brassicales|Brassicaceae|Cakile|Cakile maritima,kingdom|phylum|class|order|family|genus|species,6|7707728|220|7225535|3112|3048827|3048831,3048831,0,2024-01-11T23:12:17Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cakile,Cakile maritima
Mesembryanthemum crystallinum,Mesembryanthemum crystallinum,11,GBIF Backbone Taxonomy,62641993-8c2f-59f6-a295-18427d0c3669,Mesembryanthemum crystallinum,Plantae|Tracheophyta|Magnoliopsida|Caryophyllales|Aizoaceae|Mesembryanthemum|Mesembryanthemum crystallinum,kingdom|phylum|class|order|family|genus|species,6|7707728|220|422|6752|3084836|3084839,3084839,0,2024-01-12T02:59:15Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Mesembryanthemum,Mesembryanthemum crystallinum
Pickeringia montana,Pickeringia montana,11,GBIF Backbone Taxonomy,9ce270ec-232a-53fd-b94d-b3db8f894731,Pickeringia montana,Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Pickeringia|Pickeringia montana,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1370|5386|7762482|8284069,8284069,0,2024-01-11T23:44:29Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Pickeringia,Pickeringia montana
Typha domingensis,Typha domingensis,11,GBIF Backbone Taxonomy,102c1378-b118-5605-8c08-affe3da1b3fe,Typha domingensis,Plantae|Tracheophyta|Liliopsida|Poales|Typhaceae|Typha|Typha domingensis,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|4246|2702102|5289534,5289534,0,2024-01-12T02:55:47Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Liliopsida,Poales,Typhaceae,Typha,Typha domingensis
Artemisia californica,Artemisia californica,11,GBIF Backbone Taxonomy,c7f888fc-1283-5af1-85cd-a5c8d8e898b1,Artemisia californica,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Artemisia|Artemisia californica,kingdom|phylum|class|order|family|genus|species,6|7707728|220|414|3065|3120641|3120755,3120755,0,2024-01-11T22:16:14Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,Artemisia californica
Rumex conglomeratus,Rumex conglomeratus,11,GBIF Backbone Taxonomy,f302be2e-9fde-5897-8d2c-c303de17804f,Rumex conglomeratus,Plantae|Tracheophyta|Magnoliopsida|Caryophyllales|Polygonaceae|Rumex|Rumex conglomeratus,kingdom|phylum|class|order|family|genus|species,6|7707728|220|422|2416|2888942|2888963,2888963,0,2024-01-11T21:19:21Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,Rumex conglomeratus
Lactuca serriola,Lactuca serriola,11,GBIF Backbone Taxonomy,d68e581a-f3eb-5a91-810a-632825050783,Lactuca serriola,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Lactuca|Lactuca serriola,kingdom|phylum|class|order|family|genus|species,6|7707728|220|414|3065|3140231|3140490,3140490,0,2024-01-11T21:21:41Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lactuca,Lactuca serriola
Malva nicaeensis,Malva nicaeensis,11,GBIF Backbone Taxonomy,28370b98-5697-51d4-8c9f-80b052bf6a5f,Malva nicaeensis,Plantae|Tracheophyta|Magnoliopsida|Malvales|Malvaceae|Malva|Malva nicaeensis,kingdom|phylum|class|order|family|genus|species,6|7707728|220|941|6685|3152364|3152367,3152367,0,2024-01-11T23:59:43Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malva,Malva nicaeensis
Eucrypta chrysanthemifolia,Eucrypta chrysanthemifolia,11,GBIF Backbone Taxonomy,b26c0591-5d85-5093-a6bc-7826ecb254b9,Eucrypta chrysanthemifolia,Plantae|Tracheophyta|Magnoliopsida|Boraginales|Hydrophyllaceae|Eucrypta|Eucrypta chrysanthemifolia,kingdom|phylum|class|order|family|genus|species,6|7707728|220|7226464|2387|8940758|2928377,2928377,0,2024-01-12T01:50:15Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,Eucrypta,Eucrypta chrysanthemifolia
Madia gracilis,Madia gracilis,11,GBIF Backbone Taxonomy,ef7728d7-1234-599a-9266-31fdabef0b2b,Madia gracilis,Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Madia|Madia gracilis,kingdom|phylum|class|order|family|genus|species,6|7707728|220|414|3065|3140905|8222011,3140907,0,2024-01-11T22:20:28Z,2,Exact match by canonical form,3|0|0,0.988,8222011,Madia gracilis (Sm.) D.D.Keck & J.C.Clausen ex Applegate,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Madia,Madia gracilis
Convolvulus arvensis,Convolvulus arvensis,11,GBIF Backbone Taxonomy,3977827f-a85e-5d63-b663-e04027bbcfc3,Convolvulus arvensis,Plantae|Tracheophyta|Magnoliopsida|Solanales|Convolvulaceae|Convolvulus|Convolvulus arvensis,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1176|2389|2928386|2928390,2928390,0,2024-01-12T00:40:20Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Convolvulus,Convolvulus arvensis
Acmispon wrangelianus,Acmispon wrangelianus,11,GBIF Backbone Taxonomy,ff2973ea-cede-5622-84d1-2ca3472ddc08,Acmispon wrangelianus,Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Acmispon|Acmispon wrangelianus,kingdom|phylum|class|order|family|genus|species,6|7707728|220|1370|5386|2975784|2975801,2975801,0,2024-01-12T02:48:39Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acmispon,Acmispon wrangelianus
Elymus glaucus,Elymus glaucus,11,GBIF Backbone Taxonomy,870d094c-f705-53e0-ad4c-3c5c1c975b55,Elymus glaucus,Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Elymus|Elymus glaucus,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|3073|10465436|5290269,5290269,0,2024-01-11T22:00:55Z,2,Exact match by canonical form,3|0|0,0.988,NA,NA,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Elymus,Elymus glaucus
Stipa miliacea,Stipa miliacea,11,GBIF Backbone Taxonomy,d156aafd-6fd0-5202-bada-bc61b0113bf6,Stipa miliacea,Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Oloptum|Oloptum miliaceum,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|3073|8092915|8335191,4137066,0,2024-01-11T21:10:49Z,2,Exact match by canonical form,3|0|0,0.988,8335191,Oloptum miliaceum (L.) Röser & Hamasha,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Oloptum,Oloptum miliaceum
Koeleria gerardii,Koeleria gerardii,11,GBIF Backbone Taxonomy,0b41cca4-75cc-56af-a187-a6594eb7ae1c,Koeleria gerardii,Plantae|Tracheophyta|Liliopsida|Poales|Poaceae|Rostraria|Rostraria cristata,kingdom|phylum|class|order|family|genus|species,6|7707728|196|1369|3073|2704333|5289906,2704336,0,2024-01-11T22:07:16Z,2,Exact match by canonical form,3|0|0,0.988,5289906,Rostraria cristata (L.) Tzvelev,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Rostraria,Rostraria cristata
